E1 [GeV],E2 [GeV],E1+(E2-E1)/2,s [GeV^2],sigma [nb],err. sigma [nb] bare,alphaRatio,alphaRatioL,alphaRatioH
0.7200,0.7220,0.7210,0.5198,1075.26115,12.72490,1.00225,1.00217,1.00234
0.7220,0.7240,0.7230,0.5227,1103.93204,12.95440,1.00244,1.00235,1.00252
0.7240,0.7260,0.7250,0.5256,1105.33212,12.65790,1.00262,1.00253,1.00271
0.7260,0.7280,0.7270,0.5285,1133.27514,11.62020,1.00280,1.00272,1.00289
0.7280,0.7300,0.7290,0.5314,1149.53582,13.10840,1.00308,1.00299,1.00317
0.7300,0.7320,0.7310,0.5344,1158.38465,12.44900,1.00347,1.00338,1.00356
0.7320,0.7340,0.7330,0.5373,1195.22869,12.57230,1.00384,1.00376,1.00393
0.7340,0.7360,0.7350,0.5402,1208.12010,13.65490,1.00422,1.00413,1.00430
0.7360,0.7380,0.7370,0.5432,1235.70723,12.32350,1.00436,1.00427,1.00445
0.7380,0.7400,0.7390,0.5461,1266.28763,14.21190,1.00449,1.00440,1.00459
0.7400,0.7420,0.7410,0.5491,1266.64171,12.45160,1.00463,1.00453,1.00473
0.7420,0.7440,0.7430,0.5520,1278.59271,14.20560,1.00484,1.00473,1.00495
0.7440,0.7460,0.7450,0.5550,1280.13513,12.50970,1.00514,1.00503,1.00526
0.7460,0.7480,0.7470,0.5580,1293.24419,14.35210,1.00544,1.00532,1.00556
0.7480,0.7500,0.7490,0.5610,1316.37608,14.29860,1.00574,1.00561,1.00586
0.7500,0.7520,0.7510,0.5640,1317.56288,13.07310,1.00603,1.00589,1.00617
0.7520,0.7540,0.7530,0.5670,1322.69003,13.69370,1.00634,1.00619,1.00648
0.7540,0.7560,0.7550,0.5700,1337.74471,13.77880,1.00664,1.00649,1.00679
0.7560,0.7580,0.7570,0.5730,1310.37952,14.41030,1.00686,1.00670,1.00701
0.7580,0.7600,0.7590,0.5761,1313.84767,13.27560,1.00702,1.00685,1.00719
