# Sigma_exp
# Source: Mainz
# Q_avg^2 [GeV^2/c^2] | sigma_exp | delta sigma_exp | theta | E_in [MeV]
Code,Abbrev,x,y,dy,theta,energy
# Type=1100
30,Mainz,0.019764,0.934780,0.002646,47.490000,180.000000
30,Mainz,0.019764,0.930432,0.002174,47.490000,180.000000
30,Mainz,0.020142,0.928758,0.002361,48.000000,180.000000
30,Mainz,0.020142,0.928569,0.003211,48.000000,180.000000
30,Mainz,0.020514,0.927491,0.002171,48.500000,180.000000
30,Mainz,0.020514,0.929851,0.002171,48.500000,180.000000
30,Mainz,0.020889,0.923500,0.002170,49.000000,180.000000
30,Mainz,0.020889,0.928877,0.004528,49.000000,180.000000
30,Mainz,0.020889,0.931424,0.002453,49.000000,180.000000
30,Mainz,0.021266,0.923110,0.002168,49.500000,180.000000
30,Mainz,0.021266,0.929332,0.003111,49.500000,180.000000
30,Mainz,0.029547,0.910719,0.002617,60.000000,180.000000
30,Mainz,0.029547,0.911654,0.002617,60.000000,180.000000
# Type=1104
30,Mainz,0.054477,0.985928,0.003814,90.500000,180.000000
30,Mainz,0.054477,0.980206,0.006625,90.500000,180.000000
30,Mainz,0.054479,0.984220,0.002710,90.500000,180.000000
30,Mainz,0.054479,0.974684,0.003513,90.500000,180.000000
30,Mainz,0.042134,0.931294,0.002840,75.490000,180.000000
30,Mainz,0.042133,0.932811,0.002840,75.490000,180.000000
30,Mainz,0.044216,0.933969,0.002857,77.980000,180.000000
30,Mainz,0.044217,0.929016,0.002857,77.980000,180.000000
30,Mainz,0.046310,0.943732,0.003454,80.490000,180.000000
30,Mainz,0.046311,0.941812,0.002782,80.490000,180.000000
30,Mainz,0.048370,0.948071,0.002807,82.980000,180.000000
30,Mainz,0.048369,0.948072,0.002807,82.980000,180.000000
30,Mainz,0.052480,0.970856,0.006039,88.010000,180.000000
30,Mainz,0.052482,0.968577,0.003465,88.010000,180.000000
30,Mainz,0.052481,0.967390,0.003069,88.010000,180.000000
30,Mainz,0.056455,0.995897,0.002652,93.000000,180.000000
30,Mainz,0.056455,0.999976,0.002652,93.000000,180.000000
30,Mainz,0.060323,1.036424,0.002861,98.010000,180.000000
30,Mainz,0.060322,1.038861,0.002861,98.010000,180.000000
30,Mainz,0.062190,1.063467,0.005744,100.500000,180.000000
30,Mainz,0.062188,1.065850,0.002926,100.500000,180.000000
30,Mainz,0.064024,1.091740,0.006001,103.000000,180.000000
30,Mainz,0.064026,1.090296,0.003445,103.000000,180.000000
30,Mainz,0.064025,1.081628,0.003001,103.000000,180.000000
30,Mainz,0.065847,1.117023,0.006288,105.540000,180.000000
30,Mainz,0.065846,1.126968,0.003658,105.540000,180.000000
30,Mainz,0.065846,1.122167,0.003658,105.540000,180.000000
30,Mainz,0.067596,1.160907,0.006602,108.040000,180.000000
30,Mainz,0.067595,1.153950,0.003773,108.040000,180.000000
30,Mainz,0.067596,1.155602,0.003301,108.040000,180.000000
30,Mainz,0.069275,1.197489,0.004023,110.510000,180.000000
30,Mainz,0.069275,1.197489,0.003535,110.510000,180.000000
30,Mainz,0.070965,1.237496,0.007344,113.060000,180.000000
30,Mainz,0.070963,1.240532,0.004305,113.060000,180.000000
30,Mainz,0.070962,1.243949,0.003672,113.060000,180.000000
30,Mainz,0.072567,1.298688,0.007650,115.560000,180.000000
30,Mainz,0.072568,1.294865,0.004617,115.560000,180.000000
30,Mainz,0.074049,1.347964,0.008257,117.940000,180.000000
# Type=1105
30,Mainz,0.074049,1.359386,0.004954,117.940000,180.000000
30,Mainz,0.074049,1.361450,0.004266,117.940000,180.000000
30,Mainz,0.075577,1.424173,0.008966,120.490000,180.000000
30,Mainz,0.077078,1.510547,0.009322,123.080000,180.000000
30,Mainz,0.077077,1.509779,0.005654,123.080000,180.000000
30,Mainz,0.077078,1.511464,0.004432,123.080000,180.000000
30,Mainz,0.078472,1.607959,0.005346,125.590000,180.000000
30,Mainz,0.078472,1.612171,0.007290,125.590000,180.000000
30,Mainz,0.079770,1.703963,0.005168,128.020000,180.000000
30,Mainz,0.079768,1.709294,0.005168,128.020000,180.000000
30,Mainz,0.081062,1.831700,0.005726,130.550000,180.000000
30,Mainz,0.081064,1.838176,0.012007,130.550000,180.000000
30,Mainz,0.081062,1.830961,0.006465,130.550000,180.000000
30,Mainz,0.082233,1.959025,0.006353,132.950000,180.000000
30,Mainz,0.082231,1.958616,0.008933,132.950000,180.000000
30,Mainz,0.083428,2.141807,0.006913,135.530000,180.000000
30,Mainz,0.083428,2.128846,0.006913,135.530000,180.000000
# Type=1106
30,Mainz,0.047935,0.847452,0.002337,43.000000,315.000000
30,Mainz,0.047930,0.845127,0.002597,43.000000,315.000000
30,Mainz,0.047932,0.842178,0.002337,43.000000,315.000000
30,Mainz,0.047940,0.843716,0.002337,43.000000,315.000000
30,Mainz,0.047939,0.844671,0.002511,43.000000,315.000000
30,Mainz,0.047929,0.843398,0.002337,43.000000,315.000000
30,Mainz,0.047922,0.839606,0.002338,43.000000,315.000000
30,Mainz,0.047933,0.846504,0.002078,43.000000,315.000000
30,Mainz,0.047938,0.845366,0.002078,43.000000,315.000000
30,Mainz,0.047925,0.846698,0.002078,43.000000,315.000000
30,Mainz,0.047925,0.844793,0.002078,43.000000,315.000000
30,Mainz,0.047927,0.842451,0.002078,43.000000,315.000000
30,Mainz,0.047929,0.846947,0.002078,43.000000,315.000000
30,Mainz,0.047915,0.844732,0.002078,43.000000,315.000000
30,Mainz,0.058153,0.828861,0.002035,48.000000,315.000000
30,Mainz,0.058160,0.826895,0.002119,48.000000,315.000000
30,Mainz,0.058150,0.825647,0.002119,48.000000,315.000000
30,Mainz,0.058152,0.828270,0.002119,48.000000,315.000000
30,Mainz,0.058158,0.823000,0.002119,48.000000,315.000000
30,Mainz,0.058154,0.828520,0.002119,48.000000,315.000000
30,Mainz,0.068797,0.810314,0.002000,53.010000,315.000000
30,Mainz,0.068790,0.810746,0.002000,53.010000,315.000000
30,Mainz,0.068804,0.808716,0.002000,53.010000,315.000000
30,Mainz,0.068808,0.809290,0.001999,53.010000,315.000000
30,Mainz,0.079705,0.795555,0.002468,58.000000,315.000000
30,Mainz,0.079719,0.799394,0.002056,58.000000,315.000000
30,Mainz,0.079729,0.798798,0.002056,58.000000,315.000000
30,Mainz,0.090777,0.790874,0.002206,63.000000,315.000000
30,Mainz,0.090771,0.794480,0.002206,63.000000,315.000000
30,Mainz,0.101850,0.796157,0.002451,68.010000,315.000000
30,Mainz,0.112804,0.797611,0.002717,73.010000,315.000000
30,Mainz,0.112786,0.801015,0.002717,73.010000,315.000000
30,Mainz,0.123531,0.817013,0.002343,78.000000,315.000000
30,Mainz,0.123529,0.815928,0.002343,78.000000,315.000000
30,Mainz,0.134023,0.833403,0.002833,83.010000,315.000000
30,Mainz,0.134023,0.836064,0.002918,83.010000,315.000000
